year,happy,satisfied_life,satisfied_somerville,age,children_home,ward,precinct,student,convenient_transport,direction_somerville,housing,primary_transport,lived_here
2017,8,9,10,6599974,No,NA,NA,999,NA,NA,Own,Multiple Modes,21
2017,10,10,10,4599954,No,NA,NA,No,NA,NA,Own,Multiple Modes,21
2019,10,10,10,70,No,4,1,No,5,Right direction,Own,Car,51
2019,7,7,9,64,No,6,2,No,8,Not sure,Own,Multiple Modes,10
2019,9,9,1,70,Yes,7,1,No,1,Wrong track,Own,Car,20
2019,10,9,9,58,No,3,2,No,7,Right direction,Own,Walk,3
2019,8,8,7,58,No,4,3,No,9,Not sure,Own,Car,2
2019,10,10,10,65,No,6,2,No,10,Right direction,Rent,Public transit,65
2019,9,10,9,75,No,7,3,No,9,Right direction,Own,Multiple Modes,25
2019,9,9,7,49,No,6,2,No,9,Right direction,Own,Walk,19
2019,9,8,10,26,No,3,3,No,7,Right direction,Rent,Multiple Modes,4
2019,7,8,6,74,No,3,1,No,7,Wrong track,Rent,Public transit,74
2019,8,8,7,32,No,1,2,No,8,Not sure,Rent,Car,6
2019,7,7,8,61,No,7,1,No,9,Right direction,Own,Public transit,3
2019,10,10,10,55,Yes,4,2,No,10,Right direction,Own,Car,33
2019,8,9,7,36,No,5,3,No,5,Not sure,Own,Bike,7
2019,8,9,9,31,No,6,1,No,9,Right direction,Rent,Multiple Modes,2
2019,2,5,4,78,No,6,1,No,4,Not sure,Own,Car,40
2019,7,10,5,35,No,2,1,No,10,Wrong track,Rent,Bike,10
2019,9,9,9,30,No,7,3,No,7,Right direction,Own,Car,3
2019,8,8,8,27,No,2,3,No,9,Right direction,Rent,Bike,6
2019,6,10,10,63,No,2,1,999,6,Right direction,Own,Multiple Modes,35
2019,8,8,7,34,No,5,2,No,8,Not sure,Rent,Public transit,4
2019,7,6,9,27,No,4,3,No,7,Right direction,Rent,Multiple Modes,2
2019,7,8,8,34,Yes,1,2,No,2,Right direction,Own,Multiple Modes,2
