"strategy","day","profit-per-ticket"
"100 ticket(s)",107,9.5
"100 ticket(s)",108,10
"100 ticket(s)",109,0
"100 ticket(s)",110,0.5
"100 ticket(s)",111,-0.5
"100 ticket(s)",112,0
"100 ticket(s)",113,9
"100 ticket(s)",114,0
"100 ticket(s)",115,0.5
"100 ticket(s)",116,9
"100 ticket(s)",117,0
"100 ticket(s)",118,9
"100 ticket(s)",119,-1
"100 ticket(s)",120,1
"100 ticket(s)",121,0.5
"100 ticket(s)",122,-0.5
"100 ticket(s)",123,0.5
"100 ticket(s)",124,0
"100 ticket(s)",125,-1
"100 ticket(s)",126,0.5
"100 ticket(s)",127,-0.5
"100 ticket(s)",128,0.5
"100 ticket(s)",129,10
"100 ticket(s)",130,0
"100 ticket(s)",131,9
"100 ticket(s)",132,-0.5
"100 ticket(s)",133,-1
"100 ticket(s)",134,-1
"100 ticket(s)",135,-1
"100 ticket(s)",136,-1
"100 ticket(s)",137,-0.5
"100 ticket(s)",138,-1
"100 ticket(s)",139,-0.5
"100 ticket(s)",140,0.5
"100 ticket(s)",141,0
"100 ticket(s)",142,-0.5
"100 ticket(s)",143,-1
"100 ticket(s)",144,9.5
"100 ticket(s)",145,9.5
"100 ticket(s)",146,10.5
"100 ticket(s)",147,-1
"100 ticket(s)",148,-0.5
"100 ticket(s)",149,-1
"100 ticket(s)",150,0.5
"100 ticket(s)",151,0
"100 ticket(s)",152,0
"100 ticket(s)",153,10
"100 ticket(s)",154,0.5
"100 ticket(s)",155,0
"100 ticket(s)",156,-1
"100 ticket(s)",157,-0.5
"100 ticket(s)",158,-0.5
"100 ticket(s)",159,0
"100 ticket(s)",160,-0.5
"100 ticket(s)",161,-1
"100 ticket(s)",162,-0.5
"100 ticket(s)",163,0
"100 ticket(s)",164,0
"100 ticket(s)",165,0
"100 ticket(s)",166,0
"100 ticket(s)",167,-0.5
"100 ticket(s)",168,-0.5
"100 ticket(s)",169,-0.5
"100 ticket(s)",170,0.5
"100 ticket(s)",171,0.5
"100 ticket(s)",172,0
"100 ticket(s)",173,0
"100 ticket(s)",174,0
"100 ticket(s)",175,0
"100 ticket(s)",176,-0.5
"100 ticket(s)",177,0
"100 ticket(s)",178,0
"100 ticket(s)",179,-0.5
"100 ticket(s)",180,1
"100 ticket(s)",181,-0.5
"100 ticket(s)",182,0
"100 ticket(s)",183,11
"100 ticket(s)",184,0
"100 ticket(s)",185,0
"100 ticket(s)",186,0.5
"100 ticket(s)",187,0.5
"100 ticket(s)",188,0
"100 ticket(s)",189,0
"100 ticket(s)",190,0
"100 ticket(s)",191,-1
"100 ticket(s)",192,-0.5
"100 ticket(s)",193,9.5
"100 ticket(s)",194,-0.5
"100 ticket(s)",195,-0.5
"100 ticket(s)",196,0
"100 ticket(s)",197,0.5
